session_id,vehicle_id,make,model,year,engine,started_at,ended_at,source,ambient_c,notes
3,3,Seat,Leon,,,2018-03-26T18:06:33.719Z,2018-03-26T18:10:32.038Z,public,,KIT/RADAR Automotive OBD-II Dataset real OBD-II entry; source_file=2018-03-26_Seat_Leon_S_RT_Stau.csv; drive_label=Traffic Jam Log; license=CC BY 4.0.
4,4,Seat,Leon,,,2018-03-21T19:09:16.713Z,2018-03-21T19:13:15.061Z,public,,KIT/RADAR Automotive OBD-II Dataset real OBD-II entry; source_file=2018-03-21_Seat_Leon_KA_RT_Normal.csv; drive_label=Cold Start Log; license=CC BY 4.0.
5,5,VED,ICE 6.0L V8,,8-4V/FI 6.0L,2017-11-02T13:27:31.820Z,2017-11-02T13:30:47.520Z,public,,Vehicle Energy Dataset (VED) real OBD-II entry; source_file=VED_171101_week.csv; trip_ref=VehId=108; Trip=784; drive_label=Ann Arbor Week Log; license=Apache-2.0.
6,6,VED,Car 1.5L,,4-FI 1.5L,2017-11-02T13:51:53.106Z,2017-11-02T13:55:03.506Z,public,,Vehicle Energy Dataset (VED) real OBD-II entry; source_file=VED_171101_week.csv; trip_ref=VehId=8; Trip=708; drive_label=Ann Arbor Week Log; license=Apache-2.0.
